Position,Pan_wt,Dry_wt,phi_n225,phi_n1,phi_n05,phi_00,phi_05,phi_10,phi_15,phi_20,phi_25,phi_30,phi_35,phi_40,dryfines
0,,,2.74,2.74,1.01,1.16,1.3,1.89,1.97,3.16,3.92,3.33,1.46,1.07,0.3
1,,,1.16,1.81,1.14,1.22,1.39,2.2,2.29,3.74,4.69,4.02,1.72,1.24,0.36
2,,,2.16,1.63,0.98,1.08,1.28,2.14,2.35,3.9,4.86,4.16,1.58,1.12,0.32
3,,,3.46,2.66,1.04,1.31,1.4,2.07,1.99,3.29,4.08,3.33,1.41,1.03,0.3
4,,,2.61,2.84,1.27,1.61,1.76,2.59,2.45,4.07,5.19,4.12,1.57,1.11,0.28
5,,,3.09,2.35,1.44,1.58,1.78,2.55,2.54,4.1,5.23,4.11,1.55,1.23,0.33
6,,,1.94,2.35,1.18,1.23,1.54,2.34,2.26,4.1,5.2,4.01,1.37,1.04,0.26
7,,,3.47,1.99,1.08,1.34,1.6,2.46,3.14,4.06,4.95,4.21,1.38,1.08,0.28
8,,,5.09,1.5,1.08,1.16,1.48,2.36,2.44,3.72,4.82,3.66,1.29,0.95,0.27
9,,,2.69,1.31,1.1,1.35,1.61,2.35,2.25,3.71,4.64,3.71,1.2,0.93,0.32
10,,,4.66,1.23,0.89,1.12,1.54,2.57,2.54,3.97,4.81,3.8,1.2,0.97,0.36
11,,,1.62,1.27,1.02,1.41,1.82,2.95,3.02,4.82,5.8,4.6,1.39,1.07,0.49
12,,,3.44,1.7,0.84,0.96,1.27,2.24,2.23,3.85,4.97,4.15,1.39,1.09,0.42
